ID,Fungal_Date,Reading,FOV,FunL,FunW
R1S4,13-Jun-23,5,2,0.1,3
R1S4,13-Jun-23,5,5,0.12,3
R1S4,13-Jun-23,2,1,0.22,3
R1S4,13-Jun-23,4,4,0.08,3.5
R1S4,13-Jun-23,5,1,0.1,4
R1S4,13-Jun-23,3,1,0.2,5
R1S4,13-Jun-23,1,5,0.25,5
R1S4,13-Jun-23,1,2,0.11,7
R1S4,13-Jun-23,1,2,0.2,10
R1S5,13-Jun-23,2,2,0.08,3
R1S5,13-Jun-23,5,2,0.14,3
R1S5,13-Jun-23,1,5,0.2,3
R1S5,13-Jun-23,5,2,0.35,3
R1S5,13-Jun-23,4,3,0.15,3.5
R1S5,13-Jun-23,4,3,0.13,4
R1S5,13-Jun-23,1,4,0.3,4
R1S5,13-Jun-23,2,4,0.3,4
R1S5,13-Jun-23,3,2,0.06,5
R1S5,13-Jun-23,3,5,0.1,5
R1S5,13-Jun-23,3,5,0.14,5
R1S5,13-Jun-23,5,4,0.25,6
R1S5,13-Jun-23,1,2,0.27,6
R1S5,13-Jun-23,4,4,0.17,8
R2S1,13-Jun-23,1,5,0.07,2.5
R2S1,13-Jun-23,1,5,0.08,2.5
R2S1,13-Jun-23,2,4,0.12,3
R2S1,13-Jun-23,1,2,0.21,3
R2S1,13-Jun-23,1,5,0.13,3.5
R2S1,13-Jun-23,4,4,0.01,4
R2S1,13-Jun-23,3,3,0.12,5
R2S1,13-Jun-23,2,2,0.12,6
R2S1,13-Jun-23,2,5,0.15,7
R2S1,13-Jun-23,5,2,0.15,10
R2S3,13-Jun-23,2,5,0.3,1.5
R2S3,13-Jun-23,2,3,0.06,2
R2S3,13-Jun-23,3,2,0.2,2.5
R2S3,13-Jun-23,5,3,0.23,3
R2S3,13-Jun-23,4,1,0.1,4
R2S3,13-Jun-23,3,4,0.25,6
R2S3,13-Jun-23,1,3,0.25,8
R3S1,13-Jun-23,2,3,0.21,2
R3S1,13-Jun-23,1,5,0.25,3
R3S1,13-Jun-23,2,3,0.12,5
R3S1,13-Jun-23,1,2,0.4,5
R3S1,13-Jun-23,3,5,0.8,5
R3S1,13-Jun-23,2,2,0.1,6
R3S1,13-Jun-23,3,3,0.13,6
R3S1,13-Jun-23,3,5,0.1,7
R3S1,13-Jun-23,5,1,0.5,8
R3S5,13-Jun-23,3,4,0.05,3
R3S5,13-Jun-23,1,4,0.13,3
R3S5,13-Jun-23,5,2,0.18,3.5
R3S5,13-Jun-23,5,3,0.04,4
R3S5,13-Jun-23,1,1,0.07,4
