ID,Date,Drops per mL,Field Number,Main Dilution,Nematode Dilution,Bacterial Dilution,Bacterial FOV,Bac1,Bac2,Bac3,Bac4,Bac5,Bf Nem,Ff Nem,Rf Nem,Pred Nem,Flagellates,Amoeba,Ciliates
R1S2,27-Jun-23,20,18,15,15,225,Quarter,38,40,37,36,35,1,0,0,0,0,0,0
R1S6,27-Jun-23,20,18,15,15,225,Quarter,60,65,73,55,61,0,0,0,0,0,0,0
R2S2,27-Jun-23,20,18,15,15,1125,Half,30,28,31,27,29,0,0,0,0,0,0,0
R2S6,27-Jun-23,20,18,15,15,1125,Quarter,20,18,22,25,18,0,0,0,0,0,0,0
R3S4,27-Jun-23,20,18,15,15,1125,Half,31,34,36,38,37,0,0,0,0,0,0,0
R3S6,27-Jun-23,20,18,15,15,1125,Half,25,18,21,15,12,0,0,0,0,0,0,0
R4S4,27-Jun-23,20,18,15,15,1125,Quarter,25,22,21,13,18,0,0,0,0,0,0,0
R4S5,27-Jun-23,20,18,15,15,1125,Whole,12,7,10,8,9,0,0,0,0,0,0,0
R5S5,27-Jun-23,20,18,15,15,225,Quarter,45,38,41,37,35,0,0,0,0,0,0,0
R5S1,27-Jun-23,20,18,15,15,225,Quarter,41,44,39,54,43,0,0,0,0,0,1,0
R6S5,27-Jun-23,20,18,15,15,225,Quarter,46,40,39,38,37,1,0,1,0,0,0,0
R6S6,27-Jun-23,20,18,15,15,225,Quarter,35,36,30,31,33,0,0,0,0,0,0,0
R7S5,27-Jun-23,20,18,15,15,225,Quarter,25,28,33,31,29,1,0,0,0,0,0,0
R7S1,27-Jun-23,20,18,15,15,225,Quarter,50,48,49,52,63,0,0,0,0,0,0,0
R8S1,27-Jun-23,20,18,15,15,225,Quarter,43,58,55,49,45,0,0,0,0,0,0,0
R8S3,27-Jun-23,20,18,15,15,225,Quarter,35,38,43,41,42,0,0,0,0,0,0,0
R1S3,11-Jul-23,19,18,15,15,225,Quarter,65,58,72,84,73,0,0,0,0,0,0,0
R1S6,11-Jul-23,19,18,10,10,225,Quarter,75,85,90,80,76,1,1,0,0,0,0,0
R2S5,11-Jul-23,19,18,10,10,225,Quarter,38,45,41,48,52,0,0,0,0,0,0,0
R2S6,11-Jul-23,19,18,10,10,225,Quarter,41,45,51,60,44,0,0,0,0,0,0,0
R3S3,11-Jul-23,19,18,11,11,225,Quarter,56,61,58,65,54,0,0,0,0,0,0,0
R3S5,11-Jul-23,19,18,11,11,225,Quarter,60,55,57,55,63,0,0,0,0,0,0,0
R4S2,11-Jul-23,19,18,10,10,225,Quarter,40,45,50,48,62,1,0,0,0,0,0,0
